0;79.000 €;Apartamento;ApartamentoLas Fabricas, Ezcaray;https://www.fotocasa.es/es/c
1;85.000 €;Piso;PisoAlbox;https://www.fotocasa.es/es/c
2;74.000 €;Casa o chalet;Casa o chaletTomelloso;https://www.fotocasa.es/es/c
3;92.000 €;Casa adosada;Casa adosadaTomelloso;https://www.fotocasa.es/es/c
4;78.000 €;Piso;PisoAlbox, Albox;https://www.fotocasa.es/es/c
5;70.000 €;Piso;PisoRamon Salazar, Santo Domingo de la Calzada;https://www.fotocasa.es/es/c
6;99.000 €;Piso;PisoTerrassa;https://www.fotocasa.es/es/c
7;75.000 €;Piso;Piso Valencia Capital;https://www.fotocasa.es/es/c
8;100.000 €;Piso;Piso Valencia Capital;https://www.fotocasa.es/es/c
9;99.000 €;Piso;PisoLaredo;https://www.fotocasa.es/es/c
10;51.000 €;Planta baja;Planta bajaQuart de Poblet;https://www.fotocasa.es/es/c
11;98.000 €;Piso;PisoSagunto / Sagunt;https://www.fotocasa.es/es/c
12;89.900 €;Piso;Piso Córdoba Capital;https://www.fotocasa.es/es/c
13;86.000 €;Piso;PisoSierra Nevada, S/n, Pulpí;https://www.fotocasa.es/es/c
14;73.000 €;Casa adosada;Casa adosadaEl Ronquillo;https://www.fotocasa.es/es/c
15;89.600 €;Piso;PisoDoctor Santaolalla, Alicante / Alacant;https://www.fotocasa.es/es/c
16;59.900 €;Piso;PisoCalle Ebro, Valladolid Capital;https://www.fotocasa.es/es/c
17;75.000 €;Piso;PisoMérida;https://www.fotocasa.es/es/c
18;63.000 €;Piso;PisoMérida;https://www.fotocasa.es/es/c
19;99.000 €;Piso;Piso Córdoba Capital;https://www.fotocasa.es/es/c
20;57.000 €;Piso;PisoBeniarbeig;https://www.fotocasa.es/es/c
21;90.000 €;Piso;PisoChiclana de la Frontera;https://www.fotocasa.es/es/c
22;93.000 €;Piso;PisoGeneral Davila, Santander;https://www.fotocasa.es/es/c
23;77.000 €;Casa o chalet;Casa o chaletMassamagrell;https://www.fotocasa.es/es/c
24;65.000 €;Finca rústica;Finca rústicaAlameda Casazorrina, 28, Salas;https://www.fotocasa.es/es/c
25;83.000 €;Estudio;EstudioBenalmádena;https://www.fotocasa.es/es/c
26;89.000 €;Piso;PisoCalle Grupos José Antonio, Badajoz Capital;https://www.fotocasa.es/es/c
27;99.500 €;Casa adosada;Casa adosadaBigastro;https://www.fotocasa.es/es/c
28;59.900 €;Piso;PisoCalle Real, Ronda;https://www.fotocasa.es/es/c
29;90.000 €;Casa o chalet;Casa o chaletPedralba;https://www.fotocasa.es/es/c
30;97.000 €;Piso;PisoCalle Virgen del Henar, 11, Colmenar Viejo;https://www.fotocasa.es/es/c
31;60.000 €;Piso;PisoCalle Mariano Benlliure, 1, Massamagrell;https://www.fotocasa.es/es/c
32;84.990 €;Piso;PisoAlmoines;https://www.fotocasa.es/es/c
